"sourceIndex","originalName","storedName","sourceUrl","bytes","manifestSha256","actualSha256","disposition","canonicalStoredName","sideEffects"
"1","Chapman_Taylor_Majan_Commercial_Proposal_2026-09-21.pdf","local-assets/chapman-taylor/Chapman_Taylor_Majan_Commercial_Proposal_2026-09-21.pdf","","701030","85332cd5f6a6d07e6899d14505a4a1b9da9fbc87a5422da6bddd6826597d6e27","85332cd5f6a6d07e6899d14505a4a1b9da9fbc87a5422da6bddd6826597d6e27","upload_unique_to_staging","local-assets/chapman-taylor/Chapman_Taylor_Majan_Commercial_Proposal_2026-09-21.pdf","none"
"2","Chapman_Taylor_Majan_Technical_Proposal_Screen_2026-09-21.pdf","local-assets/chapman-taylor/Chapman_Taylor_Majan_Technical_Proposal_Screen_2026-09-21.pdf","","19309852","f90606e7611ebd1b356ee21f22b5d20f445ded7075ffaf670188e63a86f0f811","f90606e7611ebd1b356ee21f22b5d20f445ded7075ffaf670188e63a86f0f811","upload_unique_to_staging","local-assets/chapman-taylor/Chapman_Taylor_Majan_Technical_Proposal_Screen_2026-09-21.pdf","none"
"3","COMO_MDL_Rev04_Comparison_AR_Corrected.md","local-assets/COMO_MDL_Rev04_Comparison_AR_Corrected.md","","18500","a2f74496fccc03ea42987136295bfa4fbe158123bc84c8cb0450de4197237b11","a2f74496fccc03ea42987136295bfa4fbe158123bc84c8cb0450de4197237b11","upload_unique_to_staging","local-assets/COMO_MDL_Rev04_Comparison_AR_Corrected.md","none"
"4","COMO_MDL_Rev04_Comparison_AR.md","local-assets/COMO_MDL_Rev04_Comparison_AR.md","","16451","c9837d2d4467fb866c8538f410689e56e490d2336bb2a8f0bbc27f72861cfa59","c9837d2d4467fb866c8538f410689e56e490d2336bb2a8f0bbc27f72861cfa59","upload_unique_to_staging","local-assets/COMO_MDL_Rev04_Comparison_AR.md","none"
"5","como-icon-source-2026.png","local-assets/como-icon-source-2026.png","","2600192","81b89f4fd1f2a2083129de6864f191b6c8ea674e3b8c8fc151f4fa8ce2821e7e","81b89f4fd1f2a2083129de6864f191b6c8ea674e3b8c8fc151f4fa8ce2821e7e","upload_unique_to_staging","local-assets/como-icon-source-2026.png","none"
"6","Design_International_Colliers_Meeting_Brief_AR_EN.md","local-assets/Design_International_Colliers_Meeting_Brief_AR_EN.md","","22598","15c4733e7c16ca13c9a37cb7d867e0480563b629618c23f899362211f24575ef","15c4733e7c16ca13c9a37cb7d867e0480563b629618c23f899362211f24575ef","upload_unique_to_staging","local-assets/Design_International_Colliers_Meeting_Brief_AR_EN.md","none"
"7","MDL_Meeting_Talking_Points_Arabic.md","local-assets/MDL_Meeting_Talking_Points_Arabic.md","","15590","eedc6808e63ebdb727a83a6029bb284e9e7d41fce174a9a92002310a1fb660c2","eedc6808e63ebdb727a83a6029bb284e9e7d41fce174a9a92002310a1fb660c2","upload_unique_to_staging","local-assets/MDL_Meeting_Talking_Points_Arabic.md","none"
"8","MDL_Proposal_Review_Arabic.md","local-assets/MDL_Proposal_Review_Arabic.md","","17682","ba0fb1023772511b6ce069c6f0275f7152d921e339b1e603823193c489add0d5","ba0fb1023772511b6ce069c6f0275f7152d921e339b1e603823193c489add0d5","upload_unique_to_staging","local-assets/MDL_Proposal_Review_Arabic.md","none"
"9","Sara_LiveAvatar_Final_1080x1920.jpg","local-assets/sara/Sara_LiveAvatar_Final_1080x1920.jpg","","701006","0e787f50303f5522fcd9f777abeee475dc3ca8f111ace37c4977f5a6ec5df22b","0e787f50303f5522fcd9f777abeee475dc3ca8f111ace37c4977f5a6ec5df22b","upload_unique_to_staging","local-assets/sara/Sara_LiveAvatar_Final_1080x1920.jpg","none"
"10","Sara_LiveAvatar_Smiling_1080x1920.png","local-assets/sara/Sara_LiveAvatar_Smiling_1080x1920.png","","4814894","5256847d26be0e0de1f8770366c27a79d51954990a4be735639e0133f18a7bee","5256847d26be0e0de1f8770366c27a79d51954990a4be735639e0133f18a7bee","upload_unique_to_staging","local-assets/sara/Sara_LiveAvatar_Smiling_1080x1920.png","none"
"11","sara-approved-portrait-9x16.png","local-assets/sara/sara-approved-portrait-9x16.png","","4809347","e3b0faecf5d6217a9b96e87dd61a08aa7e3d8b92b86df76b7007a6e0556364d6","e3b0faecf5d6217a9b96e87dd61a08aa7e3d8b92b86df76b7007a6e0556364d6","upload_unique_to_staging","local-assets/sara/sara-approved-portrait-9x16.png","none"
"12","sara-candidate-a.png","local-assets/sara/sara-candidate-a.png","","4733446","8338ba2af15c650109ff70f09332385861aedc45446b5d7a8dd6da76fbb0d675","8338ba2af15c650109ff70f09332385861aedc45446b5d7a8dd6da76fbb0d675","upload_unique_to_staging","local-assets/sara/sara-candidate-a.png","none"
"13","sara-candidate-b.png","local-assets/sara/sara-candidate-b.png","","5109932","84945aec7ae34c9e504dc6e2a767883afcd3adf885bcd4eff2e6fd4bb58efa7f","84945aec7ae34c9e504dc6e2a767883afcd3adf885bcd4eff2e6fd4bb58efa7f","upload_unique_to_staging","local-assets/sara/sara-candidate-b.png","none"
"14","sara-candidate-c.png","local-assets/sara/sara-candidate-c.png","","5231427","8e6f75a037b683f0187710eead30ec83438239d55f713fac7c4eea45e24f5a68","8e6f75a037b683f0187710eead30ec83438239d55f713fac7c4eea45e24f5a68","upload_unique_to_staging","local-assets/sara/sara-candidate-c.png","none"
"15","sara-elevenlabs-arabic-welcome.mp3","local-assets/sara/sara-elevenlabs-arabic-welcome.mp3","","198156","d19da90dd50b20cd9fc83d76e5a44837d2fae883dc80f1995f2f613f13501b8c","d19da90dd50b20cd9fc83d76e5a44837d2fae883dc80f1995f2f613f13501b8c","upload_unique_to_staging","local-assets/sara/sara-elevenlabs-arabic-welcome.mp3","none"
"16","sara-idle-720p.mp4","local-assets/sara/sara-idle-720p.mp4","","1963109","e161fb58fc2eca3b2e347f37a59c19a0a0b6cf4f2a8a26d06a9b6cec5e1af64b","e161fb58fc2eca3b2e347f37a59c19a0a0b6cf4f2a8a26d06a9b6cec5e1af64b","upload_unique_to_staging","local-assets/sara/sara-idle-720p.mp4","none"
